Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD Potential
"Development of an Application for Data Consumers in Digital Data Marketplaces","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55417","Sandra Sampaio","1 student","C","C","True"
"Identifying players in Broadcast sports videos","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55418","Aphrodite Galata","3 students","C","C","True"
"3D Hand tracking from monocular RGB","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55421","Aphrodite Galata","3 students","C","C","True"
"Animation of avatars using human motion capture data","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55424","Aphrodite Galata","2 students","C","C","False"
"GymBuddy: Computer Vision based Fitness Assistant","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55425","Aphrodite Galata","2 students","C","C","True"
"Photo Collage","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55426","Aphrodite Galata","1 student","C","C","False"
"Tracking football players","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55420","Aphrodite Galata","2 students","C","C","False"
"Video Synthesis","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55428","Aphrodite Galata","1 student","C","C","False"
"Real-time hand tracking","Human-Computer Interaction","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55427","Aphrodite Galata","1 student","C","C","False"
"Exploiting Edge Resources in the Execution of Intelligent Transportation System Applications","Information Systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55413","Sandra Sampaio","1 student","C","C","True"
